card_name,set,rarity,full_rarity,old_price,print_run,full_set,cur_price,set_rarity,pct_increase,performance
Deathgrip,LEA,uncommon,U,$2.00,4500,Alpha,52.28,LEA (U),2514,Beat S&P
Deathlace,LEA,rare,R,$5.00,1100,Alpha,400.025,LEA (R),7900.5,Beat S&P
Demonic Attorney,LEA,rare,R,$6.25,1100,Alpha,535.495,LEA (R),8467.92,Beat S&P
Demonic Hordes,LEA,rare,R,$8.65,1100,Alpha,1123.095,LEA (R),12883.757225433525,Beat S&P
Demonic Tutor,LEA,uncommon,U,$4.13,4500,Alpha,625.2,LEA (U),15038.014527845038,Beat S&P
Dingus Egg,LEA,rare,R,$6.00,1100,Alpha,320.95666666666665,LEA (R),5249.277777777783,Beat S&P
Disenchant,LEA,common,C,$0.90,16000,Alpha,101.8,LEA (C),11211.11111111111,Beat S&P
Disintegrate,LEA,common,C,$0.83,16000,Alpha,57.72666666666667,LEA (C),6855.02008032129,Beat S&P
Disrupting Scepter,LEA,rare,R,$7.00,1100,Alpha,633.395,LEA (R),8948.5,Beat S&P
Dragon Whelp,LEA,uncommon,U,$4.00,4500,Alpha,364.99,LEA (U),9024.75,Beat S&P
Drain Life,LEA,common,C,$0.41,16000,Alpha,53.08333333333333,LEA (C),12847.154471544709,Beat S&P
Drain Power,LEA,rare,R,$7.00,1100,Alpha,549.99,LEA (R),7757.000000000001,Beat S&P
Drudge Skeletons,LEA,common,C,$0.41,16000,Alpha,34.505,LEA (C),8315.853658536587,Beat S&P
Dwarven Demolition Team,LEA,uncommon,U,$3.00,4500,Alpha,67.15,LEA (U),2138.3333333333335,Below S&P
Dwarven Warriors,LEA,common,C,$0.41,16000,Alpha,17.435,LEA (C),4152.4390243902435,Beat S&P
Earth Elemental,LEA,uncommon,U,$2.00,4500,Alpha,59.736666666666665,LEA (U),2886.833333333335,Beat S&P
Earthbind,LEA,common,C,$0.40,16000,Alpha,106.56333333333333,LEA (C),26540.833333333252,Beat S&P
Earthquake,LEA,rare,R,$6.00,1100,Alpha,1599.99,LEA (R),26566.500000000004,Beat S&P
Elvish Archers,LEA,rare,R,$8.75,1100,Alpha,1099.99,LEA (R),12471.314285714285,Beat S&P
Evil Presence,LEA,uncommon,U,$1.50,4500,Alpha,82.35666666666667,LEA (U),5390.444444444446,Beat S&P
False Orders,LEA,common,C,$0.60,16000,Alpha,28.6,LEA (C),4666.666666666667,Beat S&P
Farmstead,LEA,rare,R,$6.00,1100,Alpha,449.99,LEA (R),7399.833333333334,Beat S&P
Fastbond,LEA,rare,R,$5.50,1100,Alpha,1799.99,LEA (R),32627.090909090908,Beat S&P
Fear,LEA,common,C,$0.41,16000,Alpha,26.71,LEA (C),6414.634146341465,Beat S&P
Feedback,LEA,uncommon,U,$1.50,4500,Alpha,50.27333333333333,LEA (U),3251.555555555553,Beat S&P
Fire Elemental,LEA,uncommon,U,$2.00,4500,Alpha,132.495,LEA (U),6524.75,Beat S&P
Fireball,LEA,common,C,$0.83,16000,Alpha,128.86333333333334,LEA (C),15425.70281124494,Beat S&P
Firebreathing,LEA,common,C,$0.41,16000,Alpha,28.163333333333334,LEA (C),6769.105691056903,Beat S&P
Flashfires,LEA,uncommon,U,$2.00,4500,Alpha,41.47,LEA (U),1973.5,Below S&P
Flight,LEA,common,C,$0.41,16000,Alpha,19.336666666666666,LEA (C),4616.260162601635,Beat S&P
Fog,LEA,common,C,$0.41,16000,Alpha,57.026666666666664,LEA (C),13808.943089430903,Beat S&P
Force of Nature,LEA,rare,R,$16.50,1100,Alpha,1354.6,LEA (R),8109.696969696969,Beat S&P
Forcefield,LEA,rare,R,$9.00,1100,Alpha,1673.0949999999998,LEA (R),18489.944444444445,Beat S&P
Fork,LEA,rare,R,$8.13,1100,Alpha,1999.99,LEA (R),24500.123001230008,Beat S&P
Frozen Shade,LEA,common,C,$0.41,16000,Alpha,30.96666666666667,LEA (C),7452.845528455293,Beat S&P
Fungusaur,LEA,rare,R,$9.50,1100,Alpha,288.12,LEA (R),2932.842105263158,Beat S&P
Gaea's Liege,LEA,rare,R,$15.00,1100,Alpha,512,LEA (R),3313.3333333333335,Beat S&P
Gauntlet of Might,LEA,rare,R,$10.00,1100,Alpha,1594,LEA (R),15840,Beat S&P
Giant Growth,LEA,common,C,$0.41,16000,Alpha,82.455,LEA (C),20010.9756097561,Beat S&P
Giant Spider,LEA,common,C,$0.41,16000,Alpha,35.2,LEA (C),8485.365853658539,Beat S&P
Glasses of Urza,LEA,uncommon,U,$2.00,4500,Alpha,69.685,LEA (U),3384.25,Beat S&P
Gloom,LEA,uncommon,U,$3.00,4500,Alpha,82.7,LEA (U),2656.6666666666665,Beat S&P
Goblin Balloon Brigade,LEA,uncommon,U,$1.50,4500,Alpha,195.64333333333335,LEA (U),12942.888888888869,Beat S&P
Goblin King,LEA,rare,R,$8.50,1100,Alpha,1319.1699999999998,LEA (R),15419.647058823532,Beat S&P
Granite Gargoyle,LEA,rare,R,$8.50,1100,Alpha,735.495,LEA (R),8552.882352941177,Beat S&P
Gray Ogre,LEA,common,C,$0.41,16000,Alpha,22.973333333333333,LEA (C),5503.252032520318,Beat S&P
Green Ward,LEA,uncommon,U,$1.77,4500,Alpha,42.49666666666667,LEA (U),2300.941619585689,Beat S&P
Grizzly Bears,LEA,common,C,$0.41,16000,Alpha,49.61666666666667,LEA (C),12001.626016260172,Beat S&P
Guardian Angel,LEA,common,C,$0.41,16000,Alpha,16.634999999999998,LEA (C),3957.3170731707323,Beat S&P
Healing Salve,LEA,common,C,$0.41,16000,Alpha,23.46333333333333,LEA (C),5622.764227642268,Beat S&P
Helm of Chatzuk,LEA,rare,R,$5.50,1100,Alpha,347,LEA (R),6209.090909090909,Beat S&P
Hill Giant,LEA,common,C,$0.41,16000,Alpha,22.366666666666667,LEA (C),5355.284552845536,Beat S&P
Holy Armor,LEA,common,C,$0.41,16000,Alpha,28.756666666666664,LEA (C),6913.8211382113905,Beat S&P
Holy Strength,LEA,common,C,$0.41,16000,Alpha,20.826666666666668,LEA (C),4979.674796747976,Beat S&P
Howl from Beyond,LEA,common,C,$0.40,16000,Alpha,28.689999999999998,LEA (C),7072.500000000001,Beat S&P
Howling Mine,LEA,rare,R,$8.00,1100,Alpha,1523.095,LEA (R),18938.6875,Beat S&P
Hurloon Minotaur,LEA,common,C,$0.41,16000,Alpha,25.136666666666667,LEA (C),6030.894308943098,Beat S&P
Hurricane,LEA,uncommon,U,$2.00,4500,Alpha,165.96333333333334,LEA (U),8198.16666666665,Beat S&P
Hypnotic Specter,LEA,uncommon,U,$4.13,4500,Alpha,1299.99,LEA (U),31376.75544794189,Beat S&P
Ice Storm,LEA,uncommon,U,$1.75,4500,Alpha,233.99,LEA (U),13270.857142857145,Beat S&P
Icy Manipulator,LEA,uncommon,U,$7.00,4500,Alpha,781.5,LEA (U),11064.285714285714,Beat S&P
Illusionary Mask,LEA,rare,R,$6.75,1100,Alpha,541.57,LEA (R),7923.259259259259,Beat S&P
Instill Energy,LEA,uncommon,U,$6.75,4500,Alpha,141.39000000000001,LEA (U),1994.6666666666665,Below S&P
Invisibility,LEA,common,C,$2.00,16000,Alpha,19.62,LEA (C),881,Below S&P
Iron Star,LEA,uncommon,U,$0.70,4500,Alpha,53.223333333333336,LEA (U),7503.3333333333285,Beat S&P
Ironroot Treefolk,LEA,common,C,$2.00,16000,Alpha,25.686666666666667,LEA (C),1184.333333333335,Below S&P
Ironclaw Orcs,LEA,common,C,$0.40,16000,Alpha,26.993333333333332,LEA (C),6648.333333333325,Beat S&P
Island Sanctuary,LEA,rare,R,$6.00,1100,Alpha,622.5450000000001,LEA (R),10275.75,Beat S&P
Ivory Cup,LEA,uncommon,U,$0.41,4500,Alpha,49.04,LEA (U),11860.975609756098,Beat S&P
Jade Monolith,LEA,rare,R,$5.50,1100,Alpha,549.99,LEA (R),9899.818181818182,Beat S&P
Jade Statue,LEA,uncommon,U,$4.00,4500,Alpha,146.94333333333333,LEA (U),3573.583333333325,Beat S&P
Jayemdae Tome,LEA,rare,R,$6.00,1100,Alpha,1447.32,LEA (R),24022,Beat S&P
Juggernaut,LEA,uncommon,U,$3.00,4500,Alpha,389.07666666666665,LEA (U),12869.222222222234,Beat S&P
Jump,LEA,common,C,$0.40,16000,Alpha,20.003333333333334,LEA (C),4900.833333333325,Beat S&P
Karma,LEA,uncommon,U,$3.00,4500,Alpha,92.22,LEA (U),2974,Beat S&P
Keldon Warlord,LEA,uncommon,U,$3.00,4500,Alpha,89.10333333333334,LEA (U),2870.11111111111,Beat S&P
Kormus Bell,LEA,rare,R,$6.50,1100,Alpha,499.99,LEA (R),7592.153846153846,Beat S&P
Kudzu,LEA,rare,R,$5.50,1100,Alpha,259.7,LEA (R),4621.818181818182,Beat S&P
Lance,LEA,uncommon,U,$2.00,4500,Alpha,44.43,LEA (U),2121.5,Below S&P
Ley Druid,LEA,uncommon,U,$1.89,4500,Alpha,49.515,LEA (U),2519.84126984127,Beat S&P
Library of Leng,LEA,uncommon,U,$2.00,4500,Alpha,180.69,LEA (U),8934.5,Beat S&P
Lich,LEA,rare,R,$8.75,1100,Alpha,1736.65,LEA (R),19747.428571428572,Beat S&P
Lifeforce,LEA,uncommon,U,$2.18,4500,Alpha,34.92,LEA (U),1501.834862385321,Below S&P
Lifelace,LEA,rare,R,$5.00,1100,Alpha,357.615,LEA (R),7052.299999999999,Beat S&P
Lifetap,LEA,uncommon,U,$2.00,4500,Alpha,83.175,LEA (U),4058.75,Beat S&P
Lightning Bolt,LEA,common,C,$0.83,16000,Alpha,474.25333333333333,LEA (C),57038.95582329313,Beat S&P
Living Artifact,LEA,rare,R,$6.50,1100,Alpha,549.99,LEA (R),8361.384615384615,Beat S&P
Living Lands,LEA,rare,R,$6.00,1100,Alpha,559.4449999999999,LEA (R),9224.083333333334,Beat S&P
Living Wall,LEA,uncommon,U,$2.00,4500,Alpha,63.56333333333333,LEA (U),3078.1666666666647,Beat S&P
Llanowar Elves,LEA,common,C,$0.41,16000,Alpha,279.78999999999996,LEA (C),68141.46341463416,Beat S&P
Lord of Atlantis,LEA,rare,R,$7.50,1100,Alpha,815.75,LEA (R),10776.666666666666,Beat S&P
Lord of the Pit,LEA,rare,R,$10.50,1100,Alpha,1466.0966666666666,LEA (R),13862.825396825428,Beat S&P
Lure,LEA,uncommon,U,$2.00,4500,Alpha,76.355,LEA (U),3717.75,Beat S&P
Magical Hack,LEA,rare,R,$7.00,1100,Alpha,442.85,LEA (R),6226.428571428572,Beat S&P
Mahamoti Djinn,LEA,rare,R,$9.50,1100,Alpha,1699.99,LEA (R),17794.63157894737,Beat S&P
Mana Flare,LEA,rare,R,$6.50,1100,Alpha,1105.285,LEA (R),16904.384615384617,Beat S&P
Mana Short,LEA,rare,R,$8.00,1100,Alpha,749.99,LEA (R),9274.875,Beat S&P
Mana Vault,LEA,rare,R,$5.50,1100,Alpha,1755,LEA (R),31809.090909090908,Beat S&P
Manabarbs,LEA,rare,R,$5.50,1100,Alpha,1081.48,LEA (R),19563.272727272728,Beat S&P
Meekstone,LEA,rare,R,$5.50,1100,Alpha,698.14,LEA (R),12593.454545454546,Beat S&P
Merfolk of the Pearl Trident,LEA,common,C,$0.41,16000,Alpha,39.370000000000005,LEA (C),9502.439024390245,Beat S&P
Mesa Pegasus,LEA,common,C,$0.41,16000,Alpha,34.26,LEA (C),8256.09756097561,Beat S&P
Mind Twist,LEA,rare,R,$7.00,1100,Alpha,1723.0949999999998,LEA (R),24515.642857142855,Beat S&P
Mons's Goblin Raiders,LEA,common,C,$0.41,16000,Alpha,37.36333333333333,LEA (C),9013.008130081294,Beat S&P
Mox Emerald,LEA,rare,R,$12.50,1100,Alpha,17999.99,LEA (R),143899.92,Beat S&P
Mox Jet,LEA,rare,R,$12.50,1100,Alpha,9375,LEA (R),74900,Beat S&P
Mox Pearl,LEA,rare,R,$15.00,1100,Alpha,5625,LEA (R),37400,Beat S&P
Mox Ruby,LEA,rare,R,$15.00,1100,Alpha,12999.99,LEA (R),86566.59999999999,Beat S&P
Mox Sapphire,LEA,rare,R,$15.00,1100,Alpha,17599.99,LEA (R),117233.26666666666,Beat S&P
Natural Selection,LEA,rare,R,$7.25,1100,Alpha,681.335,LEA (R),9297.724137931036,Beat S&P
Nether Shadow,LEA,rare,R,$5.50,1100,Alpha,599.99,LEA (R),10808.909090909092,Beat S&P
Nettling Imp,LEA,uncommon,U,$2.00,4500,Alpha,89.77,LEA (U),4388.5,Beat S&P
Nevinyrral's Disk,LEA,rare,R,$6.50,1100,Alpha,2199.99,LEA (R),33746,Beat S&P
Nightmare,LEA,rare,R,$15.00,1100,Alpha,2699.99,LEA (R),17899.93333333333,Beat S&P
